result_id,test_id,test_cas,molecularweight,conc1_mean,conc1_unit,conc1_remove,conc1_unit_type,conc1_mean2,conc1_unit2,conc1_mean3,conc1_unit3,conc1_mean4,conc1_unit4,conc1_mean2_manual,conc1_unit2_manual,conc1_mean4_manual,conc1_unit4_manual,chck_mean2,chck_mean2_fuzzy,chck_unit2,chck_mean4,chck_unit4
152836,1192520,7440246,87.6,37000,Bq/L,FALSE,radioactivity/volume,37000,Bq/l,37000,Bq/l,37000,Bq/l,37000,Bq/l,37000,Bq/l,TRUE,TRUE,TRUE,TRUE,TRUE
156085,1194816,1746016,322,0.084,nmol/kg bdwt,FALSE,mol/mass,8.4e-14,mol/g,8.4e-14,mol/g,2.7048e-11,g/g,8.4e-14,mol/g,2.7048e-11,g/g,TRUE,TRUE,TRUE,FALSE,FALSE
157626,1135855,77474,272.8,38.35,ug/fish,TRUE,mass/noscience,3.835e-05,g/fish,3.835e-05,g/fish,3.835e-05,g/fish,3.835e-05,g/fish,3.835e-05,g/fish,TRUE,TRUE,TRUE,TRUE,TRUE
158609,1063543,7773015,125.844,48.33,mCi/mg,FALSE,radioactivity/mass,1.78821e+12,Bq/g,1.78821e+12,Bq/g,1.78821e+12,Bq/g,1.78821e+12,Bq/g,1.78821e+12,Bq/g,TRUE,TRUE,TRUE,TRUE,TRUE
158625,1042642,7773015,125.844,56.39,cpm/ml,TRUE,noscience/volume,56390,cpm/l,56390,cpm/l,56390,cpm/l,56390,cpm/l,56390,cpm/l,TRUE,TRUE,TRUE,TRUE,TRUE
161808,1193783,7439921,207,180,uBq,FALSE,radioactivity,0.00018,Bq,0.00018,Bq,0.00018,Bq,0.00018,Bq,0.00018,Bq,TRUE,TRUE,TRUE,TRUE,TRUE
162606,1187328,35694043,360.9,893,ug/kg LD,FALSE,mass/mass,8.93e-07,g/g,8.93e-07,g/g,8.93e-07,g/g,8.93e-07,g/g,8.93e-07,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
164635,1191856,57465288,326.4,0.2,PIg/L,TRUE,noscience/volume,0.2,PIg/l,0.2,PIg/l,0.2,PIg/l,0.2,PIg/l,0.2,PIg/l,TRUE,TRUE,TRUE,TRUE,TRUE
164737,1159382,7664417,17.031,0.000043,molal,FALSE,mol/mass,4.3e-08,mol/g,4.3e-08,mol/g,7.32333e-07,g/g,4.3e-08,mol/g,7.32333e-07,g/g,TRUE,TRUE,TRUE,FALSE,FALSE
167324,1197261,1746016,322,380,pg/g,FALSE,mass/mass,3.8e-10,g/g,3.8e-10,g/g,3.8e-10,g/g,3.8e-10,g/g,3.8e-10,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
168536,1198808,1118463,,10,ug/g,FALSE,mass/mass,1e-05,g/g,1e-05,g/g,1e-05,g/g,1e-05,g/g,1e-05,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
168785,1085353,536903,123.15,0.11,mg/L,FALSE,mass/volume,0.00011,g/l,0.00011,g/l,0.00011,g/l,0.00011,g/l,0.00011,g/l,TRUE,TRUE,TRUE,TRUE,TRUE
169883,1199281,7439965,54.93804,100,cpm,TRUE,noscience,100,cpm,100,cpm,100,cpm,100,cpm,100,cpm,TRUE,TRUE,TRUE,TRUE,TRUE
180680,1101397,144558,84.007,185,kBq,FALSE,radioactivity,185000,Bq,185000,Bq,185000,Bq,185000,Bq,185000,Bq,TRUE,TRUE,TRUE,TRUE,TRUE
180689,1096532,688733,291.06072,500,ng/min,FALSE,mass/time,2.999994000012e-05,g/h,,g,,g,2.999994000012e-05,g/h,2.999994000012e-05,g/h,TRUE,TRUE,TRUE,TRUE,TRUE
180958,1098583,7778430,185.907,2500,mCi mg,FALSE,radioactivity,9.25e+10,Bq,9.25e+10,Bq,9.25e+10,Bq,,,,,,TRUE,,,
181880,,,,,,,,,,,,,,,,,,,TRUE,,,
181880,,,,,,,,,,,,,,,,,,,TRUE,,,
181880,,,,,,,,,,,,,,,,,,,TRUE,,,
181880,,,,,,,,,,,,,,,,,,,TRUE,,,
182820,1209755,51207319,306,22.5,uCi/nmol,FALSE,radioactivity/mol,8.325e+14,Bq/mol,8.325e+14,Bq/mol,8.325e+14,Bq/mol,8.325e+14,Bq/mol,8.325e+14,Bq/mol,TRUE,TRUE,TRUE,TRUE,TRUE
184040,1208913,50328,252.3,80000,dpm,FALSE,radioactivity,1333.3336,Bq,1333.3336,Bq,1333.3336,Bq,1333.333333336,Bq,1333.333333336,Bq,FALSE,TRUE,TRUE,FALSE,TRUE
184653,1212661,7447394,134.45,4.2,umol/100 g,FALSE,mol/mass,4.2e-08,mol/g,4.2e-08,mol/g,5.6469e-06,g/g,4.2e-08,mol/g,5.6469e-06,g/g,TRUE,TRUE,TRUE,FALSE,FALSE
189150,1080045,5746178,273.15,774,mm3/L,FALSE,volume/volume,7.74e-07,m3/l,7.74e-07,m3/l,7.74e-07,m3/l,,,,,,TRUE,,,
190016,1100296,106490,107.1531,500,ug/disk,TRUE,mass/noscience,5e-04,g/disk,5e-04,g/disk,5e-04,g/disk,5e-04,g/disk,5e-04,g/disk,TRUE,TRUE,TRUE,TRUE,TRUE
192184,1211847,1014706,213.31,9.6,mBq/ml,FALSE,radioactivity/volume,9.6,Bq/l,9.6,Bq/l,9.6,Bq/l,9.6,Bq/l,9.6,Bq/l,TRUE,TRUE,TRUE,TRUE,TRUE
194685,1024679,63231505,,0.45,mg/dm3,FALSE,mass/volume,0.45,g/m3,0.45,g/m3,0.45,g/m3,0.45,g/m3,0.45,g/m3,TRUE,TRUE,TRUE,TRUE,TRUE
196300,1198208,7784465,129.91,0.0006,pCi/g,FALSE,radioactivity/mass,2.22e-05,Bq/g,2.22e-05,Bq/g,2.22e-05,Bq/g,2.22e-05,Bq/g,2.22e-05,Bq/g,TRUE,TRUE,TRUE,TRUE,TRUE
198805,1216316,7440439,112.411,1.25,uCi/ug,FALSE,radioactivity/mass,4.625e+10,Bq/g,4.625e+10,Bq/g,4.625e+10,Bq/g,4.63e+10,Bq/g,4.63e+10,Bq/g,FALSE,TRUE,TRUE,FALSE,TRUE
198982,1209197,1600277,318.68,0.1,mmol/g,FALSE,mol/mass,1e-04,mol/g,1e-04,mol/g,0.031868,g/g,1e-04,mol/g,0.031868,g/g,TRUE,TRUE,TRUE,FALSE,FALSE
198997,1211787,1746016,322,200,ng/kg,FALSE,mass/mass,2e-10,g/g,2e-10,g/g,2e-10,g/g,2e-10,g/g,2e-10,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
200265,1217621,35065271,360.9,4630808,dpm/EU,TRUE,radioactivity/noscience,77180.14876936,Bq/eu,77180.14876936,Bq/eu,77180.14876936,Bq/eu,77180.14876936,Bq/eu,77180.14876936,Bq/eu,TRUE,TRUE,TRUE,TRUE,TRUE
203282,1230171,7647145,58.44,175,mOsm,FALSE,osmolarity,0.175,Osm/l,0.175,Osm/l,0.175,Osm/l,,,,,,TRUE,,,
204436,1180663,109739,73.14,1.2E-2,ug/cell,TRUE,mass/noscience,1.2e-08,g/cell,1.2e-08,g/cell,1.2e-08,g/cell,1.2e-08,g/cell,1.2e-08,g/cell,TRUE,TRUE,TRUE,TRUE,TRUE
204713,1213688,36088229,,7,pg/dm3,FALSE,mass/volume,7e-09,g/m3,7e-09,g/m3,7e-09,g/m3,7e-09,g/m3,7e-09,g/m3,TRUE,TRUE,TRUE,TRUE,TRUE
204863,1207962,109333348,578.7,4.92,ng/g,FALSE,mass/mass,4.92e-09,g/g,4.92e-09,g/g,4.92e-09,g/g,4.92e-09,g/g,4.92e-09,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
206500,1229691,7758954,278,15,mg/kg bdwt/d,FALSE,mass/mass/time,6.25e-07,g/g/h,0.00045,g/g,0.00045,g/g,6.25e-07,g/g/h,6.25e-07,g/g/h,FALSE,TRUE,TRUE,FALSE,TRUE
206665,1215847,61949766,391.3,1400,ng/cm,FALSE,mass/length,0.00014,g/m,0.00014,g/m,0.00014,g/m,0.00014,g/m,0.00014,g/m,TRUE,TRUE,TRUE,TRUE,TRUE
210401,1232685,50471448,286.11,1.0,ug/mg food,FALSE,mass/mass,0.001,g/g,0.001,g/g,0.001,g/g,0.001,g/g,0.001,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
211043,1229988,7664939,98.08,0.2,N,TRUE,noscience,0.2,Normal,0.2,Normal,0.2,Normal,,,,,,TRUE,,,
212822,1232712,1746016,322,1.8,ng/kg fd,FALSE,mass/mass,1.8e-12,g/g,1.8e-12,g/g,1.8e-12,g/g,1.8e-12,g/g,1.8e-12,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
212891,1235426,57636,296.4,5,ug/10 g bdwt,FALSE,mass/mass,5e-07,g/g,5e-07,g/g,5e-07,g/g,5e-07,g/g,5e-07,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
215022,1225469,1336363,,2600,ng/g dry wt,FALSE,mass/mass,2.6e-06,g/g,2.6e-06,g/g,2.6e-06,g/g,2.6e-06,g/g,2.6e-06,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
216100,1235909,110543,86.18,3.03,ml/g food,FALSE,volume/mass,0.00303,l/g,0.00303,l/g,0.00303,l/g,0.00303,l/g,0.00303,l/g,TRUE,TRUE,TRUE,TRUE,TRUE
