parameter_group,id,norman_header,norman1,norman2,nor_variable,app_variable,convert,ep_schema,ep_table,ep_variable,epa3_variable,app_variable_name,,status,edi_table,id2,conversion,remark,example
Evaluation,148,Control type,ctrl_description,,1,,,ecotox,control_type_codes,description,description,,,,,,,,
,149,,,,,,,,,,,,,,,,,,
Extra,150,Dose numbers (min),num_doses_min,,,,,ecotox,tests,num_doses_min,num_doses_min,,,,,,,,
Extra,151,Dose numbers (mean),num_doses_mean,,,,,ecotox,tests,num_doses_max,num_doses_max,,,,,,,,
Extra,152,Dose numbers (max),num_doses_max,,,,,ecotox,tests,num_doses_max,num_doses_max,,,,,,,,
Extra,153,Temperature (min),media_temperature_min,,,,,ecotox,media_characteristics,media_temperature_min,media_temperature_min,,,,,,,,
Extra,154,Temperature (max),media_temperature_max,,,,,ecotox,media_characteristics,media_temperature_max,media_temperature_max,,,,,,,,
Extra,155,pH (min),media_ph_min,,,,,ecotox,media_characteristics,media_ph_min,media_ph_min,,,,,,,,
Extra,156,pH (max),media_ph_max,,,,,ecotox,media_characteristics,media_ph_max,media_ph_max,,,,,,,,
Extra,201,dose1,dose1,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,202,dose2,dose2,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,203,dose3,dose3,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,204,dose4,dose4,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,205,dose5,dose5,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,206,dose6,dose6,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,207,dose7,dose7,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,208,dose8,dose8,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,209,dose9,dose9,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,210,dose10,dose10,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,211,dose11,dose11,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,212,dose12,dose12,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,213,dose13,dose13,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,214,dose14,dose14,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,215,dose15,dose15,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,216,dose16,dose16,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,217,dose17,dose17,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,218,dose18,dose18,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,219,dose19,dose19,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,220,dose20,dose20,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,221,dose21,dose21,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,222,dose22,dose22,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,223,dose23,dose23,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,224,dose24,dose24,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,225,dose25,dose25,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,226,dose26,dose26,,,,,ecotox,doses,dose1_mean,dose1_mean,,,,,,,,
Extra,250,Endpoint group,endpoint_grp,,,1,,,,,endpoint_grp,tes_endpoint_grp,,,,,,,
,410,Result ID,result_id,,,,,,results,result_id,result_id,result_id,,,,,,,
Organism habitat,420,Terrestrial organism,n.a.,,,1,,,created,n.a.,terre,hab_terre,,,,,,,
Organism habitat,421,Freshwater organism,n.a.,,,1,,,created,n.a.,fresh,hab_fresh,,,,,,,
Organism habitat,422,Brackish organism,n.a.,,,1,,,created,n.a.,brack,hab_brack,,,,,,,
Organism habitat,423,Marine organism,n.a.,,,1,,,created,n.a.,marin,hab_marin,,,,,,,
Organism region,440,Organism occurs in Africa,n.a.,,,1,,,created,n.a.,africa,reg_africa,,,,,,,
Organism region,441,Organism occurs in North America,n.a.,,,1,,,created,n.a.,north_america,reg_america_north,,,,,,,
Organism region,442,Organism occurs in South America,n.a.,,,1,,,created,n.a.,south_america,reg_america_south,,,,,,,
Organism region,443,Organism occurs in Asia,n.a.,,,1,,,created,n.a.,asia,reg_asia,,,,,,,
Organism region,444,Organism occurs in Europe,n.a.,,,1,,,created,n.a.,europe,reg_europe,,,,,,,
