conc1_unit,u1,u2,u3,u4,n,u1cl,u2cl,u3cl,u4cl,u1num,u2num,u3num,u4num,nas,conc1_info,u1type,u2type,u3type,u4type,conc1_unit_clean,type,convert,multiplier,unit_conv
ml/m3,ml,m3,,,10,ml,m3,,,,,,,2,,volume,volume,,,ml/m3,volume/volume,TRUE,0.001,ml/l
ae mg/kg,mg,kg,,,10,mg,kg,,,,,,,2,ae,mass,mass,,,mg/kg,mass/mass,TRUE,1e-06,g/g
cm3/dm3,cm3,dm3,,,10,cm3,dm3,,,,,,,2,,volume,volume,,,cm3/dm3,volume/volume,TRUE,1,ml/l
ae g/200 L,g,200 l,,,10,g,l,,,,200,,,2,ae,mass,volume,,,g/l,mass/volume,TRUE,5000,ug/l
umol/kg dry soil,umol,kg,,,10,umol,kg,,,,,,,2,dry,mol,mass,,,umol/kg,mol/mass,TRUE,1e-09,mol/g
AI kg/100 L,kg,100 l,,,10,kg,l,,,,100,,,2,,mass,volume,,,kg/l,mass/volume,TRUE,1e+07,ug/l
IU/ml,iu,ml,,,10,iu,ml,,,,,,,2,,noscience,volume,,,iu/ml,noscience/volume,FALSE,,
ml/gal,ml,gal,,,10,ml,gal,,,,,,,2,,volume,volume,,,ml/gal,volume/volume,FALSE,,
ug/100g/d,ug,100g,d,,10,ug,g,d,,,100,,,1,,mass,mass,time,,ug/g/d,mass/mass/time,FALSE,,
mmol/g dry wt,mmol,g,,,10,mmol,g,,,,,,,2,dry,mol,mass,,,mmol/g,mol/mass,TRUE,0.001,mol/g
ml/50 ml,ml,50 ml,,,10,ml,ml,,,,50,,,2,,volume,volume,,,ml/ml,volume/volume,TRUE,20,ml/l
AI g/kg bdwt,g,kg,,,10,g,kg,,,,,,,2,bdwt,mass,mass,,,g/kg,mass/mass,TRUE,0.001,g/g
ml/8.5 L,ml,8.5 l,,,10,ml,l,,,,8.5,,,2,,volume,volume,,,ml/l,volume/volume,TRUE,0.117647058823529,ml/l
ug/ml fd,ug,ml,,,10,ug,ml,,,,,,,2,fd,mass,volume,,,ug/ml,mass/volume,TRUE,1000,ug/l
mg/10 g food,mg,10 g,,,10,mg,g,,,,10,,,2,food,mass,mass,,,mg/g,mass/mass,TRUE,1e-04,g/g
% CEC,% cec,,,,10,%,,,,,,,,3,,percentage,,,,%,percentage,FALSE,,
kg/ac,kg,acre,,,10,kg,acre,,,,,,,2,,mass,area,,,kg/acre,mass/area,TRUE,0.247104393046628,g/m2
nM/g,nmol,l,g,,10,nmol,l,g,,,,,,1,,mol,volume,mass,,nmol/l/g,mol/volume/mass,FALSE,,
AI g/3 ml/m,g,3 ml,m,,10,g,ml,m,,,3,,,1,,mass,volume,length,,g/ml/m,mass/volume/length,FALSE,,
g/0.76 m3 soil,g,0.76 m3,,,10,g,m3,,,,0.76,,,2,soil,mass,volume,,,g/m3,mass/volume,TRUE,1315.78947368421,ug/l
mol/kg bdwt,mol,kg,,,10,mol,kg,,,,,,,2,bdwt,mol,mass,,,mol/kg,mol/mass,TRUE,0.001,mol/g
ug/em,ug,em,,,10,ug,m,,,,,,,2,,mass,length,,,ug/m,mass/length,TRUE,1e-08,g/cm
g/37.9L/0.1 ha,g,37.9l,0.1 ha,,10,g,l,ha,,,37.9,0.1,,1,,mass,volume,area,,g/l/ha,mass/volume/area,FALSE,,
ug/kg/wk,ug,kg,wk,,10,ug,kg,wk,,,,,,1,,mass,mass,time,,ug/kg/wk,mass/mass/time,FALSE,,
AI oz/cwt sd,oz,cwt sd,,,10,oz,cwt,,,,,,,2,,volume,noscience,,,oz/cwt,volume/noscience,FALSE,,
ppmw H2O,ppmw h2o,,,,10,ppm,,,,,,,,3,,fraction,,,,ppm,fraction,TRUE,1,ppm
mg/kg seed,mg,kg seed,,,10,mg,kg,,,,,,,2,,mass,mass,,,mg/kg,mass/mass,TRUE,1e-06,g/g
mg/d/100 lbs,mg,d,100 lbs,,10,mg,d,lb,,,,100,,1,,mass,time,mass,,mg/d/lb,mass/time/mass,FALSE,,
AI mg/d,mg,d,,,10,mg,d,,,,,,,2,,mass,time,,,mg/d,mass/time,TRUE,0.001,g/d
AI g/25 ml/m,g,25 ml,m,,10,g,ml,m,,,25,,,1,,mass,volume,length,,g/ml/m,mass/volume/length,FALSE,,
ml/kg dry seed,ml,kg  seed,,,10,ml,kg,,,,,,,2,dry,volume,mass,,,ml/kg,volume/mass,TRUE,0.001,ml/g
ng/g soil,ng,g,,,9,ng,g,,,,,,,2,soil,mass,mass,,,ng/g,mass/mass,TRUE,1e-09,g/g
mg/100kg bdwt,mg,100kg,,,9,mg,kg,,,,100,,,2,bdwt,mass,mass,,,mg/kg,mass/mass,TRUE,1e-08,g/g
cmol/kg,cmol,kg,,,9,cm,kg,,,,,,,2,,length,mass,,,cm/kg,length/mass,FALSE,,
mg/100g/d,mg,100g,d,,9,mg,g,d,,,100,,,1,,mass,mass,time,,mg/g/d,mass/mass/time,FALSE,,
ug/100g org/d,ug,100g org,d,,9,ug,g,d,,,100,,,1,,mass,mass,time,,ug/g/d,mass/mass/time,FALSE,,
g d/m3,g d,m3,,,9,g,m3,,,,,,,2,,mass,volume,,,g/m3,mass/volume,TRUE,1000,ug/l
kg/9.3 m2,kg,9.3 m2,,,9,kg,m2,,,,9.3,,,2,,mass,area,,,kg/m2,mass/area,TRUE,107.52688172043,g/m2
Tbsp/gal,tbsp,gal,,,9,t,gal,,,,,,,2,,mass,volume,,,t/gal,mass/volume,FALSE,,
g/kg dry fd,g,kg,,,9,g,kg,,,,,,,2,dry,mass,mass,,,g/kg,mass/mass,TRUE,0.001,g/g
g/45.4 kg bdwt/d,g,45.4 kg ,d,,9,g,kg,d,,,45.4,,,1,bdwt,mass,mass,time,,g/kg/d,mass/mass/time,FALSE,,
mOsm,mosm,,,,9,m,,,,,,,,3,,length,,,,m,length,TRUE,100,cm
ug/500g,ug,500g,,,9,ug,g,,,,500,,,2,,mass,mass,,,ug/g,mass/mass,TRUE,2e-09,g/g
ug/fish,ug,fish,,,9,ug,fish,,,,,,,2,,mass,noscience,,,ug/fish,mass/noscience,FALSE,,
g/30.5 m,g,30.5 m,,,9,g,m,,,,30.5,,,2,,mass,length,,,g/m,mass/length,TRUE,0.000327868852459016,g/cm
ppm/g fd,ppm,g,,,9,ppm,g,,,,,,,2,fd,fraction,mass,,,ppm/g,fraction/mass,FALSE,,
AI g/t,g,t,,,9,g,t,,,,,,,2,,mass,mass,,,g/t,mass/mass,TRUE,1e-06,g/g
mg/cm3,mg,cm3,,,9,mg,cm3,,,,,,,2,,mass,volume,,,mg/cm3,mass/volume,TRUE,1e+06,ug/l
