conc1_unit,u1,u2,u3,u4,n,u1cl,u2cl,u3cl,u4cl,u1num,u2num,u3num,u4num,nas,conc1_info,u1type,u2type,u3type,u4type,conc1_unit_clean,type,convert,multiplier,unit_conv
units/ml,units,ml,,,3,unit,ml,,,,,,,2,,noscience,volume,,,unit/ml,noscience/volume,FALSE,,
pg/cm2,pg,cm2,,,3,pg,cm2,,,,,,,2,,mass,area,,,pg/cm2,mass/area,TRUE,1e-08,g/m2
mg/70g,mg,70g,,,3,mg,g,,,,70,,,2,,mass,mass,,,mg/g,mass/mass,TRUE,1.42857142857143e-05,g/g
fl oz/10 gal/1k sqft,fl oz,10 gal,1k sqft,,3,fl oz,gal,ft,,,10,1,,1,,volume,volume,length,,fl oz/gal/ft,volume/volume/length,FALSE,,
mg/bee,mg,bee,,,3,mg,bee,,,,,,,2,,mass,noscience,,,mg/bee,mass/noscience,FALSE,,
AI g/1000 L,g,1000 l,,,3,g,l,,,,1000,,,2,,mass,volume,,,g/l,mass/volume,TRUE,1000,ug/l
AI kg/2338 L/ha,kg,2338 l,ha,,3,kg,l,ha,,,2338,,,1,,mass,volume,area,,kg/l/ha,mass/volume/area,FALSE,,
ug/tank/wk,ug,tank,wk,,2,ug,t,wk,,,,,,1,,mass,mass,time,,ug/t/wk,mass/mass/time,FALSE,,
kg/ton tubers,kg,ton tubers,,,2,kg,t,,,,,,,2,,mass,mass,,,kg/t,mass/mass,TRUE,0.001,g/g
L/1041 L/ha,l,1041 l,ha,,2,l,l,ha,,,1041,,,1,,volume,volume,area,,l/l/ha,volume/volume/area,FALSE,,
kg bt/ha,kg ,ha,,,2,kg,ha,,,,,,,2,bt,mass,area,,,kg/ha,mass/area,TRUE,0.1,g/m2
L/1.4 m3 soil,l,1.4 m3,,,2,l,m3,,,,1.4,,,2,soil,volume,volume,,,l/m3,volume/volume,TRUE,0.714285714285715,ml/l
lb/5 gal/acre,lb,5 gal,acre,,2,lb,gal,acre,,,5,,,1,,mass,volume,area,,lb/gal/acre,mass/volume/area,FALSE,,
lb/ft3,lb,ft3,,,2,lb,ft3,,,,,,,2,,mass,volume,,,lb/ft3,mass/volume,TRUE,16018463.3739601,ug/l
lb/gal/acre,lb,gal,acre,,2,lb,gal,acre,,,,,,1,,mass,volume,area,,lb/gal/acre,mass/volume/area,FALSE,,
mCi/kg,mci,kg,,,2,mci,kg,,,,,,,2,,radioactivity,mass,,,mCi/kg,radioactivity/mass,TRUE,37000,Bq/g
mg%,mg%,,,,2,mg,,,,,,,,3,,mass,,,,mg,mass,TRUE,0.001,g
mg/100g org,mg,100g org,,,2,mg,g,,,,100,,,2,,mass,mass,,,mg/g,mass/mass,TRUE,1e-05,g/g
mg/100ul,mg,100ul,,,2,mg,ul,,,,100,,,2,,mass,volume,,,mg/ul,mass/volume,TRUE,1e+07,ug/l
mg/150ml,mg,150ml,,,2,mg,ml,,,,150,,,2,,mass,volume,,,mg/ml,mass/volume,TRUE,6666.66666666667,ug/l
mg/250 ml,mg,250 ml,,,2,mg,ml,,,,250,,,2,,mass,volume,,,mg/ml,mass/volume,TRUE,4000,ug/l
g/ug,g,ug,,,2,g,ug,,,,,,,2,,mass,mass,,,g/ug,mass/mass,TRUE,1e+06,g/g
mg/gal,mg,gal,,,2,mg,gal,,,,,,,2,,mass,volume,,,mg/gal,mass/volume,FALSE,,
g/linear ft,g,linear ft,,,2,g,l,,,,,,,2,,mass,volume,,,g/l,mass/volume,TRUE,1e+06,ug/l
g/fish,g,fish,,,2,g,fish,,,,,,,2,,mass,noscience,,,g/fish,mass/noscience,FALSE,,
g/dn(Std),g,dn(std),,,2,g,d,,,,,,,2,,mass,time,,,g/d,mass/time,TRUE,1,g/d
gal/0.5 rod2,gal,0.5 rod2,,,2,gal,d,,,,0.5,,,2,,volume,time,,,gal/d,volume/time,FALSE,,
g/50 seeds,g,50 seeds,,,2,g,d,,,,50,,,2,,mass,time,,,g/d,mass/time,TRUE,0.02,g/d
g/50 ml,g,50 ml,,,2,g,ml,,,,50,,,2,,mass,volume,,,g/ml,mass/volume,TRUE,2e+07,ug/l
g/500 g diet,g,500 g,,,2,g,g,,,,500,,,2,diet,mass,mass,,,g/g,mass/mass,TRUE,0.002,g/g
ml/100 gal,ml,100 gal,,,2,ml,gal,,,,100,,,2,,volume,volume,,,ml/gal,volume/volume,FALSE,,
g/454 g seed,g,454 g seed,,,2,g,g,,,,454,,,2,,mass,mass,,,g/g,mass/mass,TRUE,0.00220264317180617,g/g
ml/10 L/100 m2,ml,10 l,100 m2,,2,ml,l,m2,,,10,100,,1,,volume,volume,area,,ml/l/m2,volume/volume/area,FALSE,,
ml/15.1 L,ml,15.1 l,,,2,ml,l,,,,15.1,,,2,,volume,volume,,,ml/l,volume/volume,TRUE,0.0662251655629139,ml/l
ml/2.5 cm eu,ml,2.5 cm eu,,,2,ml,cm,,,,2.5,,,2,,volume,length,,,ml/cm,volume/length,TRUE,0.4,ml/cm
g/3.78 L,g,3.78 l,,,2,g,l,,,,3.78,,,2,,mass,volume,,,g/l,mass/volume,TRUE,264550.264550265,ug/l
ml/3.78 L,ml,3.78 l,,,2,ml,l,,,,3.78,,,2,,volume,volume,,,ml/l,volume/volume,TRUE,0.264550264550265,ml/l
ml/body wt,ml,body,,,2,ml,d,,,,,,,2, wt,volume,time,,,ml/d,volume/time,TRUE,1,ml/d
g/2.25 m2,g,2.25 m2,,,2,g,m2,,,,2.25,,,2,,mass,area,,,g/m2,mass/area,TRUE,0.444444444444444,g/m2
g/170 ml,g,170 ml,,,2,g,ml,,,,170,,,2,,mass,volume,,,g/ml,mass/volume,TRUE,5882352.94117647,ug/l
ml/kg diet,ml,kg,,,2,ml,kg,,,,,,,2,diet,volume,mass,,,ml/kg,volume/mass,TRUE,0.001,ml/g
g/1600 org,g,1600 org,,,2,g,org,,,,1600,,,2,,mass,organism,,,g/org,mass/organism,FALSE,,
g/13.5 L,g,13.5 l,,,2,g,l,,,,13.5,,,2,,mass,volume,,,g/l,mass/volume,TRUE,74074.0740740741,ug/l
ml/L/1000 ft2,ml,l,1000 ft2,,2,ml,l,ft2,,,,1000,,1,,volume,volume,area,,ml/l/ft2,volume/volume/area,FALSE,,
ml/L/org,ml,l,org,,2,ml,l,org,,,,,,1,,volume,volume,organism,,ml/l/org,volume/volume/organism,FALSE,,
mm3/L,mm3,l,,,2,mm3,l,,,,,,,2,,volume,volume,,,mm3/l,volume/volume,TRUE,0.001,ml/l
mmol/100 g bdwt,mmol,100 g,,,2,mmol,g,,,,100,,,2,bdwt,mol,mass,,,mmol/g,mol/mass,TRUE,1e-05,mol/g
g/1000 org,g,1000 org,,,2,g,org,,,,1000,,,2,,mass,organism,,,g/org,mass/organism,FALSE,,
g/1000 ft,g,1000 ft,,,2,g,ft,,,,1000,,,2,,mass,length,,,g/ft,mass/length,TRUE,3.28083989501312e-05,g/cm
g%,g%,,,,2,g,,,,,,,,3,,mass,,,,g,mass,TRUE,1,g
ng/fish,ng,fish,,,2,ng,fish,,,,,,,2,,mass,noscience,,,ng/fish,mass/noscience,FALSE,,
fl oz/10 gal,fl oz,10 gal,,,2,fl oz,gal,,,,10,,,2,,volume,volume,,,fl oz/gal,volume/volume,FALSE,,
eu,enzymeunit,,,,2,n,,,,,,,,3,,noscience,,,,n,noscience,FALSE,,
ng/h,ng,h,,,2,ng,h,,,,,,,2,,mass,time,,,ng/h,mass/time,TRUE,2.4e-08,g/d
ng/kg,ng,kg,,,2,ng,kg,,,,,,,2,,mass,mass,,,ng/kg,mass/mass,TRUE,1e-12,g/g
ng/min,ng,min,,,2,ng,mi,,,,,,,2,,mass,time,,,ng/mi,mass/time,FALSE,,
nl/ml,nl,ml,,,2,nl,ml,,,,,,,2,,volume,volume,,,nl/ml,volume/volume,TRUE,0.001,ml/l
cm3/feddan,cm3,feddan,,,2,cm3,feddan,,,,,,,2,,volume,area,,,cm3/feddan,volume/area,FALSE,,
nmol/g bw,nmol,g bw,,,2,nmol,g,,,,,,,2,,mol,mass,,,nmol/g,mol/mass,TRUE,1e-09,mol/g
oz/1000 ft3,oz,1000 ft3,,,2,oz,ft3,,,,1000,,,2,,volume,volume,,,oz/ft3,volume/volume,TRUE,0.00104437939987128,ml/l
oz/305 m,oz,305 m,,,2,oz,m,,,,305,,,2,,volume,length,,,oz/m,volume/length,TRUE,0.000969623975409836,ml/cm
amol/cell,amol,cell,,,2,amol,l,,,,,,,2,,mol,volume,,,amol/l,mol/volume,TRUE,1e-18,mol/l
oz/org,oz,org,,,2,oz,org,,,,,,,2,,volume,organism,,,oz/org,volume/organism,FALSE,,
AI ul/ml,ul,ml,,,2,ul,ml,,,,,,,2,,volume,volume,,,ul/ml,volume/volume,TRUE,1,ml/l
AI ug/mg bdwt,ug,mg,,,2,ug,mg,,,,,,,2,bdwt,mass,mass,,,ug/mg,mass/mass,TRUE,0.001,g/g
AI ug/kg fd,ug,kg,,,2,ug,kg,,,,,,,2,fd,mass,mass,,,ug/kg,mass/mass,TRUE,1e-09,g/g
AI ug/g wet media,ug,g,,,2,ug,g,,,,,,,2,wet,mass,mass,,,ug/g,mass/mass,TRUE,1e-06,g/g
AI pt/acre,pt,acre,,,2,pt,acre,,,,,,,2,,volume,area,,,pt/acre,volume/area,TRUE,0.116923991836428,ml/m2
ppm/eu,ppm,eu,,,2,ppm,eu,,,,,,,2,,fraction,experimentalunit,,,ppm/eu,fraction/experimentalunit,FALSE,,
AI ng/g,ng,g,,,2,ng,g,,,,,,,2,,mass,mass,,,ng/g,mass/mass,TRUE,1e-09,g/g
u-atoms/egg,u-atoms,egg,,,2,u,egg,,,,,,,2,,noscience,noscience,,,u/egg,noscience/noscience,FALSE,,
uCi/g,uci,g,,,2,uci,g,,,,,,,2,,radioactivity,mass,,,uCi/g,radioactivity/mass,TRUE,37000,Bq/g
uCi/g soil,uci,g,,,2,uci,g,,,,,,,2,soil,radioactivity,mass,,,uCi/g,radioactivity/mass,TRUE,37000,Bq/g
AI ml/m,ml,m,,,2,ml,m,,,,,,,2,,volume,length,,,ml/m,volume/length,TRUE,0.01,ml/cm
ug/50ul,ug,50ul,,,2,ug,ul,,,,50,,,2,,mass,volume,,,ug/ul,mass/volume,TRUE,20000,ug/l
ug dry fd/d,ug  ,d,,,2,ug,d,,,,,,,2,dry,mass,time,,,ug/d,mass/time,TRUE,1e-06,g/d
ug/g dry cmpst,ug,g  cmpst,,,2,ug,g,,,,,,,2,dry,mass,mass,,,ug/g,mass/mass,TRUE,1e-06,g/g
ug/g dry fd/d,ug,g  ,d,,2,ug,g,d,,,,,,1,dry,mass,mass,time,,ug/g/d,mass/mass/time,FALSE,,
AI mg/100 cm3,mg,100 cm3,,,2,mg,cm3,,,,100,,,2,,mass,volume,,,mg/cm3,mass/volume,TRUE,10000,ug/l
AI L/eu,l,eu,,,2,l,eu,,,,,,,2,,volume,experimentalunit,,,l/eu,volume/experimentalunit,FALSE,,
AI kg/378 L,kg,378 l,,,2,kg,l,,,,378,,,2,,mass,volume,,,kg/l,mass/volume,TRUE,2645502.64550265,ug/l
AI kg/1122 L/ha,kg,1122 l,ha,,2,kg,l,ha,,,1122,,,1,,mass,volume,area,,kg/l/ha,mass/volume/area,FALSE,,
ug/L/hr,ug,l,hr,,2,ug,l,h,,,,,,1,,mass,volume,time,,ug/l/h,mass/volume/time,FALSE,,
AI g/kg food,g,kg,,,2,g,kg,,,,,,,2,food,mass,mass,,,g/kg,mass/mass,TRUE,0.001,g/g
ug/mi,ug,mi,,,2,ug,mi,,,,,,,2,,mass,time,,,ug/mi,mass/time,FALSE,,
AI g/cm2,g,cm2,,,2,g,cm2,,,,,,,2,,mass,area,,,g/cm2,mass/area,TRUE,10000,g/m2
AI g/bushel,g,bushel,,,2,g,bu,,,,,,,2,,mass,volume,,,g/bu,mass/volume,TRUE,28377.5933927882,ug/l
ug/ul fd,ug,ul,,,2,ug,ul,,,,,,,2,fd,mass,volume,,,ug/ul,mass/volume,TRUE,1e+06,ug/l
AI g/500g soil,g,500g,,,2,g,g,,,,500,,,2,soil,mass,mass,,,g/g,mass/mass,TRUE,0.002,g/g
ul/kg fd,ul,kg,,,2,ul,kg,,,,,,,2,fd,volume,mass,,,ul/kg,volume/mass,TRUE,1e-06,ml/g
AI g/378.5 L,g,378.5 l,,,2,g,l,,,,378.5,,,2,,mass,volume,,,g/l,mass/volume,TRUE,2642.00792602378,ug/l
uM/100g,umol,l,100g,,2,umol,l,g,,,,100,,1,,mol,volume,mass,,umol/l/g,mol/volume/mass,FALSE,,
AI g/1100 L,g,1100 l,,,2,g,l,,,,1100,,,2,,mass,volume,,,g/l,mass/volume,TRUE,909.090909090909,ug/l
AI g/0.4 ha,g,0.4 ha,,,2,g,ha,,,,0.4,,,2,,mass,area,,,g/ha,mass/area,TRUE,0.00025,g/m2
umol/kg media,umol,kg,,,2,umol,kg,,,,,,,2,media,mol,mass,,,umol/kg,mol/mass,TRUE,1e-09,mol/g
ae ug/ml,ug,ml,,,2,ug,ml,,,,,,,2,ae,mass,volume,,,ug/ml,mass/volume,TRUE,1000,ug/l
units/g diet,units,g,,,2,unit,g,,,,,,,2,diet,noscience,mass,,,unit/g,noscience/mass,FALSE,,
% wght/org,% wg,org,,,2,% w,org,,,,,,,2,ht,percentage,organism,,,% w/org,percentage/organism,FALSE,,
ueq/g,ueq,g,,,1,ueq,g,,,,,,,2,,noscience,mass,,,ueq/g,noscience/mass,FALSE,,
uCi/ul,uci,ul,,,1,uci,ul,,,,,,,2,,radioactivity,volume,,,uCi/ul,radioactivity/volume,TRUE,3.7e+10,Bq/l
uCi/ug,uci,ug,,,1,uci,ug,,,,,,,2,,radioactivity,mass,,,uCi/ug,radioactivity/mass,TRUE,3.7e+10,Bq/g
uCi/nmol,uci,nmol,,,1,uci,nmol,,,,,,,2,,radioactivity,mol,,,uCi/nmol,radioactivity/mol,FALSE,,
uCi/3.6mg,uci,3.6mg,,,1,uci,mg,,,,3.6,,,2,,radioactivity,mass,,,uCi/mg,radioactivity/mass,TRUE,10277777.7777778,Bq/g
uCi/30mg,uci,30mg,,,1,uci,mg,,,,30,,,2,,radioactivity,mass,,,uCi/mg,radioactivity/mass,TRUE,1233333.33333333,Bq/g
kBq/dm3,kbq,dm3,,,1,kbq,dm3,,,,,,,2,,radioactivity,volume,,,kBq/dm3,radioactivity/volume,TRUE,1000,Bq/l
uCi/100 g org,uci,100 g org,,,1,uci,g,,,,100,,,2,,radioactivity,mass,,,uCi/g,radioactivity/mass,TRUE,370,Bq/g
ul/L/24h,ul,l,24h,,1,ul,l,h,,,,24,,1,,volume,volume,time,,ul/l/h,volume/volume/time,FALSE,,
uBq,ubq,,,,1,ubq,,,,,,,,3,,radioactivity,,,,uBq,radioactivity,FALSE,,
tons,tons,,,,1,tons,,,,,,,,3,,mass,,,,tons,mass,TRUE,907184.74,g
ul/mg,ul,mg,,,1,ul,mg,,,,,,,2,,volume,mass,,,ul/mg,volume/mass,TRUE,1,ml/g
L/km,l,km,,,1,l,m,,,,,,,2,,volume,length,,,l/m,volume/length,TRUE,10,ml/cm
AI nL/L,nl,l,,,1,nl,l,,,,,,,2,,volume,volume,,,nl/l,volume/volume,TRUE,1e-06,ml/l
ppm/mi,ppm,mi,,,1,ppm,mi,,,,,,,2,,fraction,time,,,ppm/mi,fraction/time,FALSE,,
AI ppm soil,ppm,,,,1,ppm,,,,,,,,3,soil,fraction,,,,ppm,fraction,TRUE,1,ppm
ppm for 36hr,ppm,36h,,,1,ppm,h,,,,36,,,2,,fraction,time,,,ppm/h,fraction/time,TRUE,0.666666666666667,ppm/d
kg/3.78 L,kg,3.78 l,,,1,kg,l,,,,3.78,,,2,,mass,volume,,,kg/l,mass/volume,TRUE,264550264.550265,ug/l
uM/cm3,umol,l,cm3,,1,umol,l,cm3,,,,,,1,,mol,volume,volume,,umol/l/cm3,mol/volume/volume,FALSE,,
AI ug/0.5 ul,ug,0.5 ul,,,1,ug,ul,,,,0.5,,,2,,mass,volume,,,ug/ul,mass/volume,TRUE,2e+06,ug/l
AI ug/g food,ug,g,,,1,ug,g,,,,,,,2,food,mass,mass,,,ug/g,mass/mass,TRUE,1e-06,g/g
Bq/kg,bq,kg,,,1,bq,kg,,,,,,,2,,radioactivity,mass,,,Bq/kg,radioactivity/mass,TRUE,0.001,Bq/g
AI g/2.54 cm tkdi,g,2.54 cm tkdi,,,1,g,cm,,,,2.54,,,2,,mass,length,,,g/cm,mass/length,TRUE,0.393700787401575,g/cm
Bq/mg,bq,mg,,,1,bq,mg,,,,,,,2,,radioactivity,mass,,,Bq/mg,radioactivity/mass,TRUE,1000,Bq/g
cc/org,cm2,org,,,1,cm2,org,,,,,,,2,,area,organism,,,cm2/org,area/organism,FALSE,,
nmol/mol,nmol,mol,,,1,nmol,mol,,,,,,,2,,mol,mol,,,nmol/mol,mol/mol,FALSE,,
cm3/cm3,cm3,cm3,,,1,cm3,cm3,,,,,,,2,,volume,volume,,,cm3/cm3,volume/volume,TRUE,1000,ml/l
nmol/eu ,nmol,eu,,,1,nmol,eu,,,,,,,2,,mol,experimentalunit,,,nmol/eu,mol/experimentalunit,FALSE,,
kg/50 m,kg,50 m,,,1,kg,m,,,,50,,,2,,mass,length,,,kg/m,mass/length,TRUE,0.2,g/cm
umoles/l agar,umol,l agar,,,1,umol,l,,,,,,,2,,mol,volume,,,umol/l,mol/volume,TRUE,1e-06,mol/l
nl/cm2,nl,cm2,,,1,nl,cm2,,,,,,,2,,volume,area,,,nl/cm2,volume/area,TRUE,0.01,ml/m2
cm3/yd,cm3,yd,,,1,cm3,yd,,,,,,,2,,volume,length,,,cm3/yd,volume/length,TRUE,0.0109361329833771,ml/cm
ng/mm/day,ng,mm,day,,1,ng,mm,d,,,,,,1,,mass,length,time,,ng/mm/d,mass/length/time,FALSE,,
cpm/mg,cpm,mg,,,1,cpm,mg,,,,,,,2,,counts,mass,,,cpm/mg,counts/mass,FALSE,,
dpm/g,dpm,g,,,1,dpm,g,,,,,,,2,,radioactivity,mass,,,dpm/g,radioactivity/mass,FALSE,,
ng/45 ml,ng,45 ml,,,1,ng,ml,,,,45,,,2,,mass,volume,,,ng/ml,mass/volume,TRUE,0.0222222222222222,ug/l
mumol/0.5 ul,mumol,0.5 ul,,,1,m,ul,,,,0.5,,,2,,length,volume,,,m/ul,length/volume,FALSE,,
L/100 lbs sd,l,100 lbs sd,,,1,l,lb,,,,100,,,2,,volume,mass,,,l/lb,volume/mass,TRUE,0.0220462262184878,ml/g
mouse unit/ml,mouse unit,ml,,,1,m,ml,,,,,,,2,,length,volume,,,m/ml,length/volume,FALSE,,
mOsm/kg,mosm,kg,,,1,m,kg,,,,,,,2,,length,mass,,,m/kg,length/mass,FALSE,,
g/1000 ft2,g,1000 ft2,,,1,g,ft2,,,,1000,,,2,,mass,area,,,g/ft2,mass/area,TRUE,0.0107639104167097,g/m2
g/100 gal,g,100 gal,,,1,g,gal,,,,100,,,2,,mass,volume,,,g/gal,mass/volume,FALSE,,
M/m3,mol,l,m3,,1,mol,l,m3,,,,,,1,,mol,volume,volume,,mol/l/m3,mol/volume/volume,FALSE,,
g/10g diet,g,10g,,,1,g,g,,,,10,,,2,diet,mass,mass,,,g/g,mass/mass,TRUE,0.1,g/g
lb/100 lb sd,lb,100 lb sd,,,1,lb,lb,,,,100,,,2,,mass,mass,,,lb/lb,mass/mass,TRUE,0.01,g/g
ml/g bdwt,ml,g,,,1,ml,g,,,,,,,2,bdwt,volume,mass,,,ml/g,volume/mass,TRUE,1,ml/g
ml/37.8 L,ml,37.8 l,,,1,ml,l,,,,37.8,,,2,,volume,volume,,,ml/l,volume/volume,TRUE,0.0264550264550265,ml/l
g/4000 cm3 soil,g,4000 cm3,,,1,g,cm3,,,,4000,,,2,soil,mass,volume,,,g/cm3,mass/volume,TRUE,250000,ug/l
g/50 org,g,50 org,,,1,g,org,,,,50,,,2,,mass,organism,,,g/org,mass/organism,FALSE,,
umol/mi/g,umol,mi,g,,1,umol,mi,g,,,,,,1,,mol,time,mass,,umol/mi/g,mol/time/mass,FALSE,,
g/7 kg,g,7 kg,,,1,g,kg,,,,7,,,2,,mass,mass,,,g/kg,mass/mass,TRUE,0.000142857142857143,g/g
mg/ft3,mg,ft3,,,1,mg,ft3,,,,,,,2,,mass,volume,,,mg/ft3,mass/volume,TRUE,35.3146667214886,ug/l
kg/9.9 m2,kg,9.9 m2,,,1,kg,m2,,,,9.9,,,2,,mass,area,,,kg/m2,mass/area,TRUE,101.010101010101,g/m2
g/sd,g,sd,,,1,g,sd,,,,,,,2,,mass,noscience,,,g/sd,mass/noscience,FALSE,,
mg/3 L soil,mg,3 l,,,1,mg,l,,,,3,,,2,soil,mass,volume,,,mg/l,mass/volume,TRUE,333.333333333333,ug/l
kg/mi2/mo,kg,mi2,mo,,1,kg,mi2,m,,,,,,1,,mass,area,length,,kg/mi2/m,mass/area/length,FALSE,,
units/l,units,l,,,1,unit,l,,,,,,,2,,noscience,volume,,,unit/l,noscience/volume,FALSE,,
mg/100 L,mg,100 l,,,1,mg,l,,,,100,,,2,,mass,volume,,,mg/l,mass/volume,TRUE,10,ug/l
mg/100 kg org,mg,100 kg org,,,1,mg,kg,,,,100,,,2,,mass,mass,,,mg/kg,mass/mass,TRUE,1e-08,g/g
g/yd2,g,yd2,,,1,g,yd,,,,,,,2,,mass,length,,,g/yd,mass/length,TRUE,0.0109361329833771,g/cm
AI g/ft org,g,ft org,,,1,g,ft,,,,,,,2,,mass,length,,,g/ft,mass/length,TRUE,0.0328083989501312,g/cm
AI %/L,%,l,,,1,%,l,,,,,,,2,,percentage,volume,,,%/l,percentage/volume,FALSE,,
AI L/42.1 L/ha,l,42.1 l,ha,,1,l,l,ha,,,42.1,,,1,,volume,volume,area,,l/l/ha,volume/volume/area,FALSE,,
ul/200 ml,ul,200 ml,,,1,ul,ml,,,,200,,,2,,volume,volume,,,ul/ml,volume/volume,TRUE,0.005,ml/l
ul/20ml,ul,20ml,,,1,ul,ml,,,,20,,,2,,volume,volume,,,ul/ml,volume/volume,TRUE,0.05,ml/l
AI L/feddan,l,feddan,,,1,l,feddan,,,,,,,2,,volume,area,,,l/feddan,volume/area,FALSE,,
AI mg/m,mg,m,,,1,mg,m,,,,,,,2,,mass,length,,,mg/m,mass/length,TRUE,1e-05,g/cm
ug/100g,ug,100g,,,1,ug,g,,,,100,,,2,,mass,mass,,,ug/g,mass/mass,TRUE,1e-08,g/g
ug %,ug %,,,,1,ug,,,,,,,,3,,mass,,,,ug,mass,TRUE,1e-06,g
mCi/mg,mci,mg,,,1,mci,mg,,,,,,,2,,radioactivity,mass,,,mCi/mg,radioactivity/mass,TRUE,3.7e+10,Bq/g
