conc1_info,conc1_unit_clean,conv,multiplier,unit_conv,unit_type,result_id,casnr,molecularweight,n,conc1_mean,conc1_unit,conc1_mean2,conc1_unit2,conc1_mean3,conc1_unit3,NOTE
,‰,no,,,fraction,2147778,10043524,110.9834,699,0.1,0/00,0.1,0/00,,,
weight,ppm,yes,1000,ppb,fraction,1215434,709988,218.08,674,750,ppmw,750000,ppb,750000,ppb,
,g,yes,1000000,ug,mass,1182210,16090021,924.9,661,0.5,g,500000,ug,500000,ug,
ai ,mg/ml,yes,1000000,ug/l,mass/volume,1177400,138261413,255.66,660,0.0298,ai mg/ml,29800,ug/l,29800,ug/l,
,mmol/kg,yes,1E-06,mol/g,mol/mass,1129301,85007,344.04,638,0.1,mmol/kg,34.404,mg/kg,34.404,mg/kg,
,g/m3,yes,1000,ug/l,mass/volume,1144880,74839,94.94,617,63.7,g/m3,63700,ug/l,63700,ug/l,
org,ug/g,yes,1,mg/kg,mass/mass,2027394,16676292,377.9,611,1,ug/g org,1,mg/kg,1,mg/kg,
ae,g/ha,yes,0.0001,g/m2,mass/area,2196088,1071836,169.0731,604,430,ae g/ha,0.043,g/m2,0.043,g/m2,
,uCi/l,no,,,NA/volume,226443,14124675,126.97,600,0.4,uCi/L,0.4,uCi/L,,,
,mg/org/d,no,,,mass/organism/time,1033040,7761888,169.873,588,6.47,mg/org/d,6.47,mg/org/d,,,
,gal/acre,no,,,noscience/area,787760,52292178,,565,1,gal/acre,1,gal/acre,,,
,mg/g,yes,1000,mg/kg,mass/mass,236066,471341,100.09,564,61,mg/g,61000,mg/kg,61000,mg/kg,
AI ,ppb,yes,1,ppb,fraction,25662,50293,354.5,549,18,AI ppb,18,ppb,18,ppb,
,mg/l,yes,1000,ug/l,mass/volume,1092622,74839,94.94,543,21,mg h/L,21000,ug/l,,,
AI soil,mg/kg,yes,1,mg/kg,mass/mass,2330946,40487421,281.31,540,1.12,AI mg/kg soil,1.12,mg/kg,1.12,mg/kg,
fd,mg/g,yes,1000,mg/kg,mass/mass,2051248,298464,236.27,540,128.6,mg/g fd,128600,mg/kg,128600,mg/kg,
AI ,mg/kg,yes,1,mg/kg,mass/mass,738058,2008391,266.12,530,0.74,AI mg/kg,0.74,mg/kg,0.74,mg/kg,
bdwt,ml/kg,yes,0.001,ml/g,volume/mass,1073253,7758987,159.61,528,10,ml/kg bdwt,0.01,ml/g,0.01,ml/g,
,ml/kg,yes,0.001,ml/g,volume/mass,2021141,91465086,449.8,507,5,ml/kg,0.005,ml/g,0.005,ml/g,
,umol/g,yes,1E-06,mol/g,mol/mass,1237861,81072,183.19,507,200,umol/g,36638,mg/kg,36638,mg/kg,
,ul,yes,0.001,ml,volume,1240558,67641,58.08,502,20,ul,0.02,ml,0.02,ml,
bw,mg/g,yes,10,mg/kg,mass/mass,1047550,121755,330.4,498,13.78,mg/100g bw,137.8,mg/kg,,,
bdwt,g/kg,yes,1000,mg/kg,mass/mass,1119040,117817,390.6,476,3,g/kg bdwt,3000,mg/kg,3000,mg/kg,
,ul/ml,yes,1000,ul/l,volume/volume,1129635,470826,154.24932,444,100,ul/ml,100000,ul/l,,,
,umol/kg,yes,1E-09,mol/g,mol/mass,1041838,63252,201.22,439,84.175,umol/kg,16.9376935,mg/kg,16.9376935,mg/kg,
AI ,g/m3,yes,1000,ug/l,mass/volume,1236029,39515418,349.4,431,0.064,AI g/m3,64,ug/l,64,ug/l,
AI ,ug/cm2,yes,0.01,g/m2,mass/area,1018450,144627,90.03,431,7.75,AI ug/cm2,0.0775,g/m2,0.0775,g/m2,
,mg/cm2,yes,10,g/m2,mass/area,2076171,76039,163.38,430,0.1,mg/cm2,1,g/m2,1,g/m2,
ae,lb/gal,no,,,mass/noscience,2092710,3084626,369.7,429,2,ae lb/100 gal,2,ae lb/100 gal,,,
AI ,ug/org,no,,,mass/organism,2247808,52918635,505.2,419,359.6,AI ug/org,359.6,AI ug/org,,,
,mg/m2,yes,0.001,g/m2,mass/area,2398905,35367385,310.68,404,7.2,mg/m2,0.0072,g/m2,0.0072,g/m2,
,ug/bee,no,,,mass/noscience,2292361,1332407,213.57,390,10,ug/bee,10,ug/bee,,,
,ug/egg,no,,,mass/noscience,2378844,50282,272.4,384,0.5,ug/egg,0.5,ug/egg,,,
AI ,g/kg,yes,1000,mg/kg,mass/mass,1059707,33089611,293.4,382,100,AI g/kg,100000,mg/kg,100000,mg/kg,
ae,ug/l,yes,1,ug/l,mass/volume,2144672,1071836,169.0731,382,100000,ae ug/L,100000,ug/l,100000,ug/l,
diet,ng/g,yes,0.001,mg/kg,mass/mass,783168,1746016,322,379,10,ng/g diet,0.01,mg/kg,,,
dry soil,ug/kg,yes,0.001,mg/kg,mass/mass,2141083,10592139,480.9,376,100,ug/kg dry soil,0.1,mg/kg,0.1,mg/kg,
AI ,mg/eu,yes,1,mg/eu,mass/noscience,1124134,1312761,116.189,366,20,AI mg/eu,20,mg/eu,20,mg/eu,
AI soil,ug/g,yes,1,mg/kg,mass/mass,1112827,333415,304.35,366,640,AI ug/g soil,640,mg/kg,640,mg/kg,
AI sd,g/kg,yes,10,mg/kg,mass/mass,1100102,30560191,183.17,364,500,AI g/100 kg sd,5000,mg/kg,5000,mg/kg,
