conc1_info,conc1_unit_clean,conv,multiplier,unit_conv,unit_type,result_id,casnr,molecularweight,n,conc1_mean,conc1_unit,conc1_mean2,conc1_unit2,conc1_mean3,conc1_unit3,NOTE
,ml/m2,yes,0.010764262648009,ml/m2,volume/area,1014426,68359375,434.3,36,8,ml/92.9 m2,0.086114101184069,ml/m2,,,
food,mmol/g,yes,0.001,mol/g,mol/mass,1188817,10124364,208.48,36,0.005,mmol/ g food,1042.4,mg/kg,,,
,neq/g,no,,,noscience/mass,2153417,144558,84.007,36,3000,neq/g,3000,neq/g,,,
,g,yes,1000000,ug,mass,1078048,2032657,225.31,35,1,granules,1000000,ug,,,
,mg/ml,yes,5000,ug/l,mass/volume,2181553,308068566,,35,200,mg/200 ml,1000000,ug/l,,,
,mol,no,,,mol,2284963,7487947,271.5,35,1.74E-05,mol,1.74E-05,mol,,,
,um,no,,,,735241,115322,370.5,35,0.1,um,0.1,um,,,
AI ,ng,yes,0.001,ug,mass,2190208,16752775,,34,88,AI ng,0.088,ug,0.088,ug,
,fg/org,no,,,mass/organism,763841,7440508,63.55,34,17,fg/org,17,fg/org,,,
soil,g/m2,yes,1,g/m2,mass/area,2455293,4151502,527.2,34,6,g/m2 soil,6,g/m2,6,g/m2,
,qt/gal,no,,,noscience/noscience,2091751,2921882,350.6,34,1,qt/100 gal,1,qt/100 gal,,,
AI eu,ug/g,yes,1,mg/kg,mass/mass,1130283,52645531,,33,283,AI ug/g eu,283,mg/kg,283,mg/kg,
,kmol/m3,yes,1,mol/l,mol/volume,223977,7440508,63.55,33,5E-07,kmol/m3,3177500000000000,ug/l,,,
,oz/lb,no,,,noscience/mass,2423499,148798,201.25,33,12,oz/100 lb seed,12,oz/100 lb seed,,,
,ug/l,yes,1,ug/l,mass/volume,204436,109739,73.14,33,0.012,ug/cell,120,ug/l,,,
,ug/d,yes,1E-06,g/d,mass/time,190016,106490,107.1531,33,500,ug/disk,0.0005,g/d,,,
,ul/d,yes,0.001,ml/d,volume/time,1103489,52645531,,33,0.5,ul/d,0.0005,ml/d,0.0005,ml/d,
AI ,gal/acre,no,,,noscience/area,2391906,8003198,,32,10,AI gal/acre,10,AI gal/acre,,,
AI ,ng/mg,yes,1,mg/kg,mass/mass,1026914,2921882,350.6,32,60,AI ng/mg bdwt,60,mg/kg,,,
AI ,ppm,yes,1000,ppb,fraction,2402638,133062,300.6,32,500,AI ppm dry soil,500000,ppb,,,
,iu/d,no,,,noscience/time,1102492,67970,384.6,32,7500000,IU/d,7500000,IU/d,,,
,ml/l,yes,266.666666666667,ul/l,volume/volume,2266914,138261413,255.66,32,0.2,ml/3.75 L,53.3333333333334,ul/l,,,
,ml/ml,yes,1057.08245243129,ul/l,volume/volume,2312768,69327760,305.4,32,5.2,ml/946 ml,5496.82875264271,ul/l,,,
,ug/l,yes,1,ug/l,mass/volume,64318,1344098,212.14,32,210,ug-atoms/L,210,ug/l,,,
,ug/ml,yes,1000,ug/l,mass/volume,1069785,1912249,215.68,32,20,ug/ml H2O,20000,ug/l,,,
,umol/g,yes,1E-06,mol/g,mol/mass,245869,10108642,183.32,32,0.045,umol/g org,8.2494,mg/kg,,,
,l,yes,1000,ml,volume,2390594,8066011,221.9,31,28,L,28000,ml,28000,ml,
soil,g/kg,yes,1000,mg/kg,mass/mass,1062163,7758987,159.61,31,0.25,g/kg soil,250,mg/kg,,,
dryfd,mg/g/d,no,,,mass/mass/time,2297034,85687,312.4,31,0.1,mgdryfd/gwetbdwt/d,0.1,mgdryfd/gwetbdwt/d,,,
,pg/l,yes,1E-06,ug/l,mass/volume,1088736,11141176,720.7,31,25,pg/cell,2.5E-05,ug/l,,,
,ppm,yes,1000,ppb,fraction,793130,674828,84.07,31,5,ppmv,5000,ppb,,,
AI ,mg/sd,no,,,mass/noscience,2057934,210880925,249.68,30,0.45,AI mg/sd,0.45,AI mg/sd,,,
AI media,ug/cm2,yes,0.01,g/m2,mass/area,2352759,1071836,169.0731,30,0.25,AI ug/cm2 media,0.0025,g/m2,0.0025,g/m2,
,g/ml,yes,5000000,ug/l,mass/volume,1059880,141517217,408.4,30,0.045,g/200 ml,225000,ug/l,,,
,g/dm3,yes,1000000,ug/l,mass/volume,2196761,1327419,,30,0.1,g/dm3,100000,ug/l,100000,ug/l,
,mol/dm3,yes,1,mol/l,mol/volume,235986,298124,74.04,30,0.002,mol/dm3,148080000000,ug/l,,,
,pmol,no,,,mol,2334920,7487947,271.5,30,80,pmol,80,pmol,,,
,pmol/mg,yes,1E-09,mol/g,mol/mass,1188719,10124364,208.48,30,228,pmol/mg,47.53344,mg/kg,,,
AI ,g/l,yes,2645.50264550265,ug/l,mass/volume,1080981,121755,330.4,29,227,AI g/378 L,600529.100529102,ug/l,,,
,cm3/ft,yes,0.032808398950131,ml/cm,volume/length,2342778,96128,236.33,29,1.2,cm3/ft,0.039370078740157,ml/cm,0.039370078740157,ml/cm,
,mg/ml,yes,333333.333333333,ug/l,mass/volume,1204847,52904,121.16,29,0.5,mg/3 ml,166666.666666667,ug/l,,,
,pg/l,yes,1E-06,ug/l,mass/volume,2045043,52918635,505.2,29,48,pg/L,4.8E-05,ug/l,,,
,ppm/org,no,,,fraction/organism,135263,8068448,,29,10,ppm/organi,10,ppm/organi,,,
AI ,g/cm,yes,0.4,g/cm,mass/length,1099348,138261413,255.66,28,0.15,AI g/2.5 cm dbh,0.06,g/cm,,,
AI ,kg,yes,1000000000,ug,mass,2356470,21087649,214.29,28,0.75,AI kg,750000000,ug,,,
AI ,mol/eu,no,,,mol/noscience,2085615,1076466,223.05,28,0.005,AI mol/eu,0.005,AI mol/eu,,,
AI ,ug/kg,yes,0.001,mg/kg,mass/mass,783486,57465288,326.4,28,1.2,AI ug/kg,0.0012,mg/kg,,,
,m,yes,100,cm,length,244803,67561,32.042,28,300,ML,30000,cm,,,
,pg/dm3,yes,1E-06,ug/l,mass/volume,204713,36088229,,28,7,pg/dm3,7E-06,ug/l,7E-06,ug/l,
,pg/org,no,,,mass/organism,783412,1746016,322,28,2.34,pg/org,2.34,pg/org,,,
,ug/g/wk,no,,,mass/mass/time,2297726,104405,220.35,28,200,ug/g/wk,200,ug/g/wk,,,
AI ,%/w,no,,,fraction/noscience,1180993,116063,190.27,27,1,AI %/wt sd,1,AI %/wt sd,,,
AI ,ppm,yes,1000,ppb,fraction,2402920,133062,300.6,27,1000,AI ppm H2O,1000000,ppb,,,
AI ,ug/eu,yes,0.001,mg/eu,mass/noscience,1139007,138261413,255.66,27,0.15,AI ug/eu,0.00015,mg/eu,0.00015,mg/eu,
,g/cm2,yes,10000,g/m2,mass/area,2083073,10099748,331,27,1E-05,g/cc,0.1,g/m2,,,
,g/cm2,yes,10000,g/m2,mass/area,1208032,117180,260.89,27,1.37,g/cm2,13700,g/m2,13700,g/m2,
,kBq/ml,yes,1000000,Bq/l,radioactivity/volume,79308,14124675,126.97,27,66,kBq/ml,66000000,Bq/l,66000000,Bq/l,
fd,mg/kg/d,yes,1,mg/kg/d,mass/mass/time,1008575,88671890,288.77,27,13.8,mg/kg fd/d,13.8,mg/kg,13.8,mg/kg,
,mol/ft3,yes,3.53146667214886E-05,mol/l,mol/volume,1109094,74884,141.939,27,2.4,mol/1000 ft3,12030.0683514753,ug/l,,,
,nmol/g,yes,1E-09,mol/g,mol/mass,2229889,2921882,350.6,27,4.41,nmol/g lipid,1.546146,mg/kg,,,
bdwt,%,yes,10000000,ppb,fraction,2003962,50237,362.5,26,3,% of bdwt,30000000,ppb,,,
AI ,g/kg,yes,10,mg/kg,mass/mass,1042317,133062,300.6,26,73,AI g/100 kg,730,mg/kg,,,
AI ,g/in dia,no,,,mass/noscience,2258446,138261413,255.66,26,0.03,AI g/in dia,0.03,AI g/in dia,,,
AI ,lb/gal/acre,no,,,mass/noscience/area,2196974,112410238,352.5,26,0.06,AI lb/gal/acre,0.06,AI lb/gal/acre,,,
AI ,mg/kg,yes,0.01,mg/kg,mass/mass,2352705,153719234,291.72,26,50,AI mg/100 kg,0.5,mg/kg,,,
AI ,mg/g,yes,1000,mg/kg,mass/mass,2259826,88671890,288.77,26,0.011,AI mg/g fd,11,mg/kg,,,
AI ,ng/cm2,yes,1E-05,g/m2,mass/area,1000765,102851069,502.9,26,69.04,AI ng/cm2,0.0006904,g/m2,,,
ae,oz/gal/acre,no,,,noscience/noscience/area,1158577,8015563,,26,25,ae oz/100gal/acre,25,ae oz/100gal/acre,,,
,g/bu,no,,,mass/noscience,2087037,117180,260.89,26,2.7,g/bushel,2.7,g/bushel,,,
,mg/l/h,yes,,,mass/volume/time,766763,7758987,159.61,26,1.18,mg/L/h,1.18,mg/l/h,1.18,mg/l/h,
,ul/cm2,yes,10,ml/m2,volume/area,2089376,5989275,136.23,26,0.2,ul/cm2,2,ml/m2,,,
,umol/org,no,,,mol/organism,1073104,40843252,327.2,26,10,umol/org,10,umol/org,,,
,v/v,no,,,volume/volume,1002605,121755,330.4,26,0.001,v/v,0.001,v/v,,,
AI ,g/unit,no,,,mass/noscience,2266472,138261413,255.66,25,90,AI g/unit,90,AI g/unit,,,
bdwt,iu/kg,no,,,noscience/mass,1013829,68268,286.5,25,160000,IU/kg bdwt,160000,IU/kg bdwt,,,
,cpm/l,no,,,counts/volume,137405,7646857,136.3,25,4.9,cpm/L,4.9,cpm/L,,,
bt,g/eu,yes,1000,mg/eu,mass/noscience,2455678,80060099,384.6,25,0.5,g bt/eu,500,mg/eu,500,mg/eu,
,mg/g,yes,10,mg/kg,mass/mass,2333486,63252,201.22,25,200,mg/100g sd,2000,mg/kg,,,
,mg/g,yes,1000,mg/kg,mass/mass,2282359,319925569,,25,2.3,mg/g org,2300,mg/kg,,,
media,mg/kg,yes,1,mg/kg,mass/mass,2031080,7718549,129.6,25,35.7,mg/kg media,35.7,mg/kg,35.7,mg/kg,
,nmol/cm2,no,,,mol/area,1234430,298000,263.21,25,1.68,nmol/cm2,1.68,nmol/cm2,,,
,%,yes,10000000,ppb,fraction,2411354,83465,414.7,24,2,% DT,20000000,ppb,,,
AI ,% v/v,no,,,fraction/volume,2216327,26027383,264.4,24,0.02,AI % v/v,0.02,AI % v/v,,,
AI ,g/cm,yes,0.393700787401575,g/cm,mass/length,2266351,138261413,255.66,24,1.5,AI g/2.54 cm dbh,0.590551181102362,g/cm,,,
AI ,g/d,yes,1,g/d,mass/time,1122649,2813958,282.25,24,335,AI g/dn(Cyprus),335,g/d,,,
AI ,lb/eu,no,,,mass/noscience,2083914,25954136,,24,8,AI lb/eu,8,AI lb/eu,,,
,lb/yd,yes,0.049605464785652,g/cm,mass/length,2387372,533744,162.269,24,6.75,lb/100 yd2,0.33483688730315,g/cm,,,
,mg/cm,yes,0.001,g/cm,mass/length,1176964,4602840,222.37,24,40,mg/cm,0.04,g/cm,0.04,g/cm,
,mol/g,yes,1,mol/g,mol/mass,756609,50679,176.21,24,1E-08,mol/g,1.7621,mg/kg,1.7621,mg/kg,
,Ci/g,no,,,NA/mass,196300,7784465,129.91,24,0.0006,pCi/g,0.0006,pCi/g,,,
bdwt,pmol/g,yes,1E-12,mol/g,mol/mass,742935,86073883,1212.3,24,10,pmol/g bdwt,0.012123,mg/kg,,,
bdwt,ul/kg,yes,1E-06,ml/g,volume/mass,2387485,56235,153.8,24,7.8,ul/kg bdwt,7.8E-06,ml/g,,,
,%,yes,10000000,ppb,fraction,2256112,64175,46.07,23,2,% soln,20000000,ppb,,,
,cm2/org,no,,,area/organism,1146141,2921882,350.6,23,16,cm2/org,16,cm2/org,,,
,g/l,yes,2638.52242744063,ug/l,mass/volume,2084823,2921882,350.6,23,454,g/379 L,1197889.18205805,ug/l,,,
,mg/g/d,no,,,mass/mass/time,138922,11097691,326.4,23,50,mg/g/d,50,mg/g/d,,,
,mg/kg/h,yes,1,mg/kg/h,mass/mass/time,1160043,26628228,65.01,23,0.86,mg/kg/h,0.86,mg/kg/h,0.86,mg/kg/h,
food,ml/g,yes,1,ml/g,volume/mass,216100,110543,86.18,23,3.03,ml/g food,3.03,ml/g,,,
bdwt,mol/g,yes,1,mol/g,mol/mass,2046144,525666,259.34,23,5E-09,mol/g bdwt,1.2967,mg/kg,,,
,ug/h/g,no,,,mass/time/mass,216474,50237,362.5,23,4.2,ug/h/100 g,4.2,ug/h/100 g,,,
AI ,g/l,yes,2638.52242744063,ug/l,mass/volume,1003126,300765,380.78,22,680,AI g/379 L,1794195.25065963,ug/l,,,
,d/m,no,,,time/length,2177739,7647145,58.44,22,10,dS/m,10,dS/m,,,
,g/l,yes,5284.01585204756,ug/l,mass/volume,2328153,732116,317.3,22,340.2,g/189.25 L,1797622.19286658,ug/l,,,
,mg/org/wk,no,,,mass/organism/time,1062470,1912249,215.68,22,200,mg/org/wk,200,mg/org/wk,,,
,ml/l,yes,5.28401585204756,ul/l,volume/volume,2064536,39515418,349.4,22,140.48,ml/189.25 L,742.298546895641,ul/l,,,
,ml/m2,yes,0.015625,ml/m2,volume/area,2452208,79241466,383.4,22,15,ml/64 m2,0.234375,ml/m2,,,
 egg,mmol/kg,yes,1E-06,mol/g,mol/mass,1045371,64175,46.07,22,3.025,mmol/kg egg,139.36175,mg/kg,,,
fd,ug/l,yes,1,ug/l,mass/volume,2434440,57885,386.7,22,10,ug/L fd,10,ug/l,,,
 egg,ug/kg,yes,0.001,mg/kg,mass/mass,1123643,1746016,322,22,1,ug/kg egg,0.001,mg/kg,,,
,%/g,no,,,fraction/mass,1159850,134203,151.16,21,0.5,% g/g,0.5,% g/g,,,
ae,ppb,yes,1,ppb,fraction,800472,39600425,,21,572,ae ppb,572,ppb,,,
,g/g,yes,3333.33333333333,mg/kg,mass/mass,1084095,133062,300.6,21,2,g/300 g seed,6666.66666666666,mg/kg,,,
,mg/g,yes,3.33333333333333,mg/kg,mass/mass,2160180,50237,362.5,21,5,mg/300 g,16.6666666666667,mg/kg,,,
,mg/wk,no,,,mass/time,1130541,7440666,65.4,21,12,mg/wk,12,mg/wk,,,
,ml/org,no,,,volume/organism,1152764,144627,90.03,21,2.08,ml/1000 org,2.08,ml/1000 org,,,
,mmol/dm3,yes,0.001,mol/l,mol/volume,2336100,7718549,129.6,21,0.043,mmol/dm3,5572.8,ug/l,,,
fd,ul/ml,yes,1000,ul/l,volume/volume,2266267,153719234,291.72,21,6.25,ul/ml fd,6250,ul/l,,,
AI ,kg/m,yes,0.01,g/cm,mass/length,2174264,23135220,219.26,20,0.2,AI kg/1000 m,0.002,g/cm,,,
AI ,mg/ml,yes,20000,ug/l,mass/volume,2402661,133062,300.6,20,5,AI mg/50 ml H2O,100000,ug/l,,,
AI ,ng/kg,yes,1E-06,mg/kg,mass/mass,2246281,138261413,255.66,20,500,AI ng/kg fd,0.0005,mg/kg,,,
,Bq,yes,1,Bq,radioactivity,2367469,1464422,,20,0.67,Bq,0.67,Bq,0.67,Bq,
,l/kg/ha,no,,,volume/mass/area,2322131,1929824,230.9,20,3,L/80 kg N/ha,3,L/80 kg N/ha,,,
,g/m,yes,0.0001,g/cm,mass/length,2086257,2921882,350.6,20,83,g/100 m,0.0083,g/cm,,,
,ng/d,yes,1E-09,g/d,mass/time,770785,7447394,134.45,20,2.5,ng/d,2.5E-09,g/d,,,
AI caliper,g/cm,yes,1,g/cm,mass/length,1177743,30560191,183.17,19,0.1,AI g/cm caliper,0.1,g/cm,0.1,g/cm,
AI ,lb/g,yes,453592370,mg/kg,mass/mass,2323406,63252,201.22,19,0.05,AI lb/ga,22679618.5,mg/kg,,,
,l/m2,yes,1000,ml/m2,volume/area,730566,8002059,,19,1.2,L/m2,1200,ml/m2,,,
,lb/eu,no,,,mass/noscience,1150361,116063,190.27,19,0.25,lb/eu,0.25,lb/eu,,,
,mmol/l/kg,no,,,mol/volume/mass,1116999,56359,596.1,19,30,mM/kg,30,mM/kg,,,
bdwt,mg/kg/wk,yes,1,mg/kg/wk,mass/mass/time,1129395,58957,472.7,19,250,mg/kg/wk,250,mg/kg/wk,250,mg/kg/wk,
bdwt,mmol/kg/d,no,,,mol/mass/time,2000842,608935,250.3,19,0.1,mmol/kg bdwt/d,0.1,mmol/kg bdwt/d,,,
,mol/m2,no,,,mol/area,1115944,74839,94.94,19,4.8,mol/9.29 m2,4.8,mol/9.29 m2,,,
,oz/bu,no,,,noscience/noscience,1205804,60571,,19,2,oz/bu,2,oz/bu,,,
,umol/kg/d,no,,,mol/mass/time,1008778,7761888,169.873,19,65,umol/kg/d,65,umol/kg/d,,,
soil,%,yes,10000000,ppb,fraction,2472607,10102064,396.05,18,0.01,% soil,100000,ppb,,,
AI ,kg/kg,yes,10000,mg/kg,mass/mass,1160797,59669260,354.5,18,0.88,AI kg/100 kg sd,8800,mg/kg,,,
ae,g/m2,yes,0.01,g/m2,mass/area,2357590,2008391,266.12,18,15.6,ae g/100 m2,0.156,g/m2,,,
,fl oz,no,,,noscience,2400769,35367385,310.68,18,6.25,fl oz,6.25,fl oz,,,
,g/ml,yes,1250000,ug/l,mass/volume,2424734,148798,201.25,18,2,g/800 ml,2500000,ug/l,,,
H2O,mg/l,yes,1000,ug/l,mass/volume,1100986,7631892,163.925,18,1,mg/L H2O,1000,ug/l,1000,ug/l,
wt,mg/kg/d,yes,1,mg/kg/d,mass/mass/time,1234058,7758987,159.61,18,0.1,mg/kg/d,0.1,mg/kg/d,0.1,mg/kg/d,
,ml/l,yes,1,ul/l,volume/volume,2254986,168316958,734,18,6.25,ml/1000 L,6.25,ul/l,,,
,pmol/l,yes,1E-12,mol/l,mol/volume,125913,7440268,97.90721,18,4.3,pmol/L,0.000421001003,ug/l,,,
,ppm,yes,1000,ppb,fraction,2060258,2282340,221.29,18,4.8,ppm solvent,4800,ppb,,,
dry,ug/kg,yes,0.001,mg/kg,mass/mass,2270155,330552,249.09,18,9545,ug/kg dry wt org,9.545,mg/kg,,,
,,no,,,,232326,673198,207.27,17,,,,,,,
,Bq/g,yes,1,Bq/g,radioactivity/mass,139639,7440462,132.905452,17,160,Bq/g,160,Bq,160,Bq,
diet,iu/kg,no,,,noscience/mass,1110926,67970,384.6,17,54000,IU/kg diet,54000,IU/kg diet,,,
,l/m3,yes,1000,ul/l,volume/volume,1016281,75150,76.15,17,0.06,L/m3,60,ul/l,,,
,cm3/org,no,,,volume/organism,2344857,96128,236.33,17,15,cm3/org,15,cm3/org,,,
food,g,yes,1000000,ug,mass,2254502,63741,172.21,17,0.036,g food,36000,ug,,,
soil,g/cm3,yes,211909.302818394,ug/l,mass/volume,1041591,52623888,607.7,17,0.566,g/4719 cm3 soil,119940.665395211,ug/l,,,
,ml/ft,yes,0.032808398950131,ml/cm,volume/length,2342950,8003198,,17,3,ml/ft,0.098425196850394,ml/cm,,,
,uCi/mg,no,,,NA/mass,108364,58899,,17,5.9,uCi/mg,5.9,uCi/mg,,,
,ug/g,yes,1,mg/kg,mass/mass,1021504,7447394,134.45,17,25,ug/g TI,25,mg/kg,,,
bdwt,ug/g/wk,no,,,mass/mass/time,217262,50282,272.4,17,0.5,ug/g bdwt/wk,0.5,ug/g bdwt/wk,,,
,%,yes,10000000,ppb,fraction,1018637,327628,112.17,16,4,% AE,40000000,ppb,,,
AI ,g/m,yes,3.27868852459016E-05,g/cm,mass/length,1110414,2921882,350.6,16,3.4,AI g/305 m,0.000111475409836,g/cm,,,
AI ,kg/ha,yes,0.1,g/m2,mass/area,1102064,298022,260.4,16,5,AI kg/ha soil,0.5,g/m2,,,
AI ,mg/g,yes,1000,mg/kg,mass/mass,2403301,133062,300.6,16,2.45,AI mg/g sd,2450,mg/kg,,,
AI ,ppm/w,no,,,fraction/noscience,2359128,1610180,225.29,16,0.5,AI ppm soil w/w,0.5,AI ppm soil w/w,,,
ae,mmol/kg,yes,1E-06,mol/g,mol/mass,1043381,144627,90.03,16,6,ae mmol/kg soil,540.18,mg/kg,,,
,g/ml,yes,2000000,ug/l,mass/volume,2315428,153719234,291.72,16,0.63,g/500 ml,1260000,ug/l,,,
,mg/ml,yes,10000,ug/l,mass/volume,1116951,64175,46.07,16,590,mg/100ml,5900000,ug/l,,,
 wt,mg/kg,yes,1,mg/kg,mass/mass,217899,140669,206.32,16,25,mg/kg wt,25,mg/kg,25,mg/kg,
,ml/ml,yes,1000,ul/l,volume/volume,2448724,74051802,,16,15,ml/1000 ml H2O,15000,ul/l,,,
diet,ml/kg,yes,0.001,ml/g,volume/mass,2263366,81889,479,16,0.13,ml/kg diet,0.00013,ml/g,,,
,mmol/g,yes,1E-05,mol/g,mol/mass,240903,921017,121.16,16,0.15,mmol/100 g,181.74,mg/kg,,,
soil,mol/g,yes,1,mol/g,mol/mass,1223417,7439896,55.84,16,0.008,mol/g soil,446720,mg/kg,,,
,Ci/ml,no,,,NA/volume,91787,7440359,243.06138,16,175,pCi/ml,175,pCi/ml,,,
,ug/l,yes,0.1,ug/l,mass/volume,2012160,50282,272.4,16,10,ug/10 L,1,ug/l,,,
,ug/l,yes,0.285714285714286,ug/l,mass/volume,709806,2921882,350.6,16,34,ug/3.5L,9.71428571428572,ug/l,,,
,umol/dm3,yes,1E-06,mol/l,mol/volume,769696,7447394,134.45,16,14,umol/dm3,1882.3,ug/l,,,
dry,umol/g,yes,1E-06,mol/g,mol/mass,1119491,7440439,112.41,16,0.85,umol/g dry wt fd,95.5485,mg/kg,,,
,t/eu,no,,,mass/noscience,1140775,333415,304.35,15,5.333,Tbsp/eu,5.333,Tbsp/eu,,,
ai ,kg/l,yes,2638522.42744063,ug/l,mass/volume,1169153,115297,406.9,15,0.34,ai kg/379 l,897097.625329814,ug/l,,,
,cm3/ha,yes,0.0001,ml/m2,volume/area,1124606,10265926,141.13,15,1000,cm3/ha,0.1,ml/m2,,,
,fl oz/ft,no,,,noscience/length,1145384,138261413,255.66,15,1.3,fl oz/1000 ft,1.3,fl oz/1000 ft,,,
,kg/m2,yes,1000,g/m2,mass/area,2415341,67485294,494.5,15,0.00034,kg/m2,0.34,g/m2,,,
,mg/ml,yes,2000,ug/l,mass/volume,1035370,8065416,,15,5,mg/500 ml,10000,ug/l,,,
,mg/ft2,yes,0.01076391041671,g/m2,mass/area,2449044,90437,170.21,15,15,mg/ft2,0.161458656250645,g/m2,,,
,mg/h,yes,0.024,g/d,mass/time,227797,7761888,169.873,15,0.089,mg/h,0.002136,g/d,,,
wet,ng/g/d/NA,no,,,mass/mass/time/NA,2425580,25637994,641.7,15,800,ng/g wet wt/d/pair,800,ng/g wet wt/d/pair,,,
bdwt,ug/g,yes,0.003333333333333,mg/kg,mass/mass,2160205,51434,183.2,15,200,ug/300 g bdwt,0.666666666666666,mg/kg,,,
,umol/cm2,no,,,mol/area,246220,860220,466.4,15,1,umol/cm2,1,umol/cm2,,,
AI ,kg/l/ha,no,,,mass/volume/area,2458075,122349,201.66,14,4.5,AI kg/227.3 l/0.4 ha,4.5,AI kg/227.3 l/0.4 ha,,,
AI ,ml/eu,no,,,volume/noscience,1109575,116063,190.27,14,13.5,AI mL/eu,13.5,AI mL/eu,,,
AI ,ml/kg,yes,1E-05,ml/g,volume/mass,2222721,66063056,328.8,14,81.2,AI ml/100 kg,0.000812,ml/g,,,
AI ,ug/g,yes,1,mg/kg,mass/mass,1094464,38641940,228.18,14,5000,AI ug/g food,5000,mg/kg,,,
,fl oz/gal/acre,no,,,noscience/noscience/area,2333422,63252,201.22,14,8,fl oz/50 gal/acre,8,fl oz/50 gal/acre,,,
,fl oz/gal,no,,,noscience/noscience,2400759,135410207,222.67,14,3,fl oz/gal,3,fl oz/gal,,,
,g/l,yes,100000,ug/l,mass/volume,1107819,8018017,541.1,14,30,g/10 L,3000000,ug/l,,,
diet,g/l,yes,1000000,ug/l,mass/volume,2375660,123312890,217.23,14,14,g/L diet,14000000,ug/l,,,
,kg/m3,yes,1000000,ug/l,mass/volume,2389141,60571,,14,0.0023,kg/m3,2300,ug/l,,,
,mg/ml,yes,100000,ug/l,mass/volume,1233628,7646799,129.84,14,1,mg/10 ml,100000,ug/l,,,
wet wt media,mg/kg,yes,1,mg/kg,mass/mass,2377552,70288867,1736.2,14,0.1,mg/kg wet wt media,0.1,mg/kg,0.1,mg/kg,
,ml/l,yes,263.157894736842,ul/l,volume/volume,2376042,71751412,1732.1,14,2.4,ml/3.8 L,631.578947368421,ul/l,,,
bdwt,nmol/kg,yes,1E-12,mol/g,mol/mass,156085,1746016,322,14,0.084,nmol/kg bdwt,2.7048E-05,mg/kg,,,
,oz/gal,no,,,noscience/noscience,1118624,62737,220.97,14,0.3,oz/2.5 gal,0.3,oz/2.5 gal,,,
,qt/gal,no,,,noscience/noscience,1197004,23135220,219.26,14,0.01,qt/gal,0.01,qt/gal,,,
,ul/l,yes,0.01,ul/l,volume/volume,2226482,67641,58.08,14,200,uL/100 L,2,ul/l,,,
,umol/l/kg/mi,no,,,mol/volume/mass/time,1109301,7664417,17.031,14,55,uM/kg/mi,55,uM/kg/mi,,,
bdwt,ug/kg/h,no,,,mass/mass/time,2245207,11128997,1046.2,14,36,ug/kg bdwt/h,36,ug/kg bdwt/h,,,
wet,ug/kg,yes,0.001,mg/kg,mass/mass,2376187,70288867,1736.2,14,95.58,ug/kg wet media ,0.09558,mg/kg,,,
,ul/m2,yes,0.001,ml/m2,volume/area,1131210,121755,330.4,14,458.6,ul/m2,0.4586,ml/m2,,,
,umol/kg,yes,1E-09,mol/g,mol/mass,2399398,608935,250.3,14,28000,umol/kg LD,7008.4,mg/kg,,,
,,no,,,,2047036,52918635,505.2,13,0.0009,AI,0.0009,AI,,,
AI ,ml/m2,yes,1,ml/m2,volume/area,2385380,542756,110.97,13,24,AI ml/m2,24,ml/m2,,,
AI ,ug/kg,yes,0.001,mg/kg,mass/mass,2374515,70288867,1736.2,13,21899,AI ug/kg dry soil,21.899,mg/kg,,,
,cpm,no,,,counts,169883,7439965,54.93804,13,100,cpm,100,cpm,,,
,dm3/ha,yes,0.1,ml/m2,volume/area,2065630,111988499,252.72,13,0.1,dm3/ha,0.01,ml/m2,,,
,g/acre,yes,2.47104393046628E-05,g/m2,mass/area,2215478,122349,201.66,13,300,g/10 acre,0.007413131791399,g/m2,,,
,g/kg,yes,10,mg/kg,mass/mass,2338796,17804352,290.32,13,50,g/100kg,500,mg/kg,,,
,g/kg,yes,22.0264317180617,mg/kg,mass/mass,2153912,3810740,1457.4,13,25,g/45.4 kg seed,550.660792951543,mg/kg,,,
,g/d/org,no,,,mass/time/organism,2276919,7447394,134.45,13,4.83E-06,g/d/org,4.83E-06,g/d/org,,,
,mCi/ml,no,,,NA/volume,2169118,74332755,,13,0.0025,mCi/ml,0.0025,mCi/ml,,,
food,mg/g,yes,100,mg/kg,mass/mass,1122580,1314847,260.1,13,4,mg/10 g food,400,mg/kg,,,
soil,mg/g,yes,10,mg/kg,mass/mass,1006903,77929,192.12,13,100,mg/100g soil,1000,mg/kg,,,
bdwt,ml/g/d,no,,,volume/mass/time,1044022,8002059,,13,3,ml/100g bdwt/d,3,ml/100g bdwt/d,,,
,oz/cwt,no,,,noscience/noscience,2271144,131341861,248.18,13,8,oz/cwt sd,8,oz/cwt sd,,,
,pellets,no,,,noscience,1124424,2032657,225.31,13,1,pellets,1,pellets,,,
,ppb/ml,no,,,fraction/volume,1209960,77065,346.4,13,167,ppb/ml,167,ppb/ml,,,
,ppm/l,no,,,fraction/volume,2405262,7783202,132.14,13,200,ppm/L,200,ppm/L,,,
AI ,kg/l,yes,2642007.92602378,ug/l,mass/volume,2219101,16752775,,12,0.204,AI kg/378.5 L,538969.616908851,ug/l,,,
AI ,kg/acre,yes,0.247104393046628,g/m2,mass/area,1127775,52645531,,12,0.0091,AI kg/acre,0.002248649976724,g/m2,,,
AI ,lb/gal,no,,,mass/noscience,2396884,35367385,310.68,12,0.0078,AI lb/10 gal,0.0078,AI lb/10 gal,,,
