variable_id,subst_name,casnr,value,source,psm_type
720,Tetraconazol,112281773,3873.8447058892,epa,fungicide
721,Zoxamid,156052685,780,epa,fungicide
723,Neburon,555373,557.7208316746,chemprop,herbicide
724,Cyproconazol,94361065,26000,epa,fungicide
725,Fenarimol,60168889,6800,epa,fungicide
726,Iprovalicarb,140923177,17891.4987759788,chemprop,fungicide
727,Myclobutanil,88671890,11000,epa,fungicide
729,Chlorfluazuron,71422678,0.908,ppdb,insecticide
730,Cyromazin,66215278,32349.033988668,epa,insecticide
733,Fenpyroximat,134098616,22,ppdb,insecticide
734,Flazasulfuron,104040780,13223.499319405,chemprop,herbicide
735,Flufenoxuron,101463698,0.043,ppdb,insecticide
736,Mepronil,55814410,10000,epa,fungicide
739,Pirimicarb-desmethyl,30614223,62.4411917007,chemprop,insecticide
744,Triflumizol,99387890,2110,ppdb,fungicide
740,Spirodiclofen,148477718,,none,insecticide
738,Methoxyfenozid,161050584,3700,epa,insecticide
741,Spiromesifen,283594901,92.3,epa,insecticide
742,Tebufenozid,112410238,3800,malaj,insecticide
743,Thiabendazol,148798,761.1802509964,epa,fungicide
745,Triforin,26644462,13811.2769267069,epa,fungicide
746,Triticonazol,131983727,7600,epa,fungicide
747,Teflubenzuron,83121180,2.8,ppdb,insecticide
749,Triadimefon,43121433,7450.3432756988,epa,fungicide
836,Propoxycarbazone,145026819,950866.024282646,chemprop,herbicide
766,Monuron,150685,14358.5449183607,chemprop,herbicide
767,Propachlor,1918167,10097.8305525698,epa,herbicide
768,Fluazifop-butyl,69806504,316000,ppdb,herbicide
769,Carbetamid,16118493,81000,ppdb,herbicide
771,Triallat,2303175,115.5762695468,epa,herbicide
783,Dichlobenil,1194656,6200,malaj,herbicide
784,Propham,122429,23000,ppdb,herbicide
785,Endosulfansulfat,1031078,1023.675067803,epa,metabolite
788,Beflubutamid,113614087,1640,ppdb,herbicide
1219,Pirimiphos-ethyl,23505411,,none,insecticide
789,Flurochloridon,61213250,5100,ppdb,herbicide
790,Iodosulfuron,185119760,,chemprop,herbicide
791,Metosulam,139528851,8876593.52297721,chemprop,herbicide
792,Triclopyr,55335063,132900,epa,herbicide
793,Florasulam,145701231,40074.9298190277,epa,herbicide
794,Famoxadone,131807573,11.8,epa,fungicide
795,Folpet,133073,314.8591269936,epa,fungicide
796,Procymidon,32809168,,none,fungicide
809,"1,3-Dichlorpropen",542756,2127.547606358,epa,insecticide
810,Thiophanat-methyl,23564058,10719.2778436741,epa,fungicide
814,Benthiavalicarb-isopropyl,177406687,,none,fungicide
815,Bupirimat,41483436,7142.9506763852,chemprop,fungicide
816,Carboxin,5234684,69359.9307958133,epa,fungicide
817,Chlorantraniliprole,500008457,11.0739938448,epa,insecticide
818,Dinotefuran,165252700,327252.165768234,epa,insecticide
819,Fenazaquin,120928098,4.1,malaj,insecticide
820,Fenoxycarb,72490-01-8,400,epa,insecticide
